"","Data","Cases","Deaths","Recovered","Cases_Wave1","Cases_Wave2","Cases_Wave3","Cases_Wave4","Deaths_Wave1","Deaths_Wave2","Deaths_Wave3","Deaths_Wave4","Active_Wave1","Active_Wave2","Active_Wave3","Active_Wave4","Recovered_Wave1","Recovered_Wave2","Recovered_Wave3","Recovered_Wave4","Area","Model_Cases_Wave1","Model_Cases_Wave2","Model_Cases_Wave3","Model_Active_Wave1","Model_Active_Wave2","Model_Active_Wave3","Model_Deaths_Wave1","Model_Deaths_Wave2","Model_Deaths_Wave3","Model_Recovered_Wave1","Model_Recovered_Wave2","Model_Recovered_Wave3"
"644",2020-06-11,1370,117,441,8.4571425524796e-15,0.00345362506604308,0.000119181685258695,1.95690523781556e-20,1.2999326963962e-08,0.00815357044510751,8.52215222374697e-07,0,0.00416684090164264,0.000507653027984245,0.00257226961321198,0.000590527582714648,2.85714285714286,0.0017819223972796,0.00332689749164688,6.12003134753573e-06,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645",2020-06-12,1403,118,442,3.58737832129016e-15,0.00330580899757196,0.000135884689707063,3.94538955929284e-20,7.44616256942811e-09,0.00795244174691318,1.01084149654872e-06,0,0.00423977647298037,0.000458451610543177,0.00268787863762756,0.000628019833672858,2.71428571428571,0.00169282627741562,0.0031960924582645,9.88821920718769e-06,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646",2020-06-13,1418,118,442,1.50170236591347e-15,0.00315215154553909,0.000154614811533276,7.90751813205301e-20,4.22009187126675e-09,0.00772982728961452,1.196769834122e-06,0,0.00430827248780189,0.000412873484654284,0.00279912936079675,0.000667445499138258,3,0.00187101851714358,0.00306567776713645,1.57208401268856e-05,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647",2020-06-14,1434,118,442,6.20359886709642e-16,0.0029940784960881,0.000175570371202199,1.57550836030501e-19,2.36640482959231e-09,0.00748782540845877,1.41426893687565e-06,0,0.00437106050138829,0.000370798057995238,0.0029050688486899,0.000708871531743222,3.57142857142857,0.0022274029965995,0.00293603297919487,2.45938570045222e-05,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648",2020-06-15,1443,119,442,2.52904588177133e-16,0.00283299649482582,0.000198962359617504,3.12055210004533e-19,1.31290688518314e-09,0.00722866758355708,1.66819635701327e-06,0,0.00443258007025577,0.000332089295832412,0.00300476169930608,0.000752364923025339,3.57142857142857,0.0022274029965995,0.0028075183918365,3.78591416059977e-05,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649",2020-06-16,1463,119,447,1.0174729358253e-16,0.00267027293597003,0.00022501433257057,6.14429945580246e-19,7.20703372364285e-10,0.00695468434472532,1.96406624303291e-06,0,0.00447380452362057,0.000296598719598114,0.00309730366130597,0.000797992521044574,6,0.00374203703428716,0.00268047367072789,5.73466573804715e-05,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650",2020-06-17,1482,121,465,4.03963550990402e-17,0.00250721762888614,0.000253962155536343,1.20266180888767e-18,3.91432541948675e-10,0.00666827064016595,2.30812269520168e-06,0,0.00450995519810971,0.000264168259394967,0.00318183520475466,0.000845820837243205,6,0.00374203703428716,0.00255521669656299,8.54749157973351e-05,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651",2020-06-18,1492,121,466,1.58275849661704e-17,0.00234506655717701,0.000286053582197968,2.34015636017228e-18,2.10346382502617e-10,0.00637185138232984,2.70741885028674e-06,0,0.00453278720305022,0.000234632930897535,0.00325755476119339,0.000895915842687457,7.57142857142857,0.00472209435279094,0.00243204262783631,0.000125361009642269,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652",2020-06-19,1510,122,484,6.1198430366841e-18,0.00218496797340743,0.00032154765039536,4.5266450648795e-18,1.11838391531354e-10,0.00606784785434221,3.16990175580899e-06,0,0.00455435076327181,0.000207823313446908,0.00332373134905275,0.000948342753889462,7.57142857142857,0.00472209435279094,0.00231122317836205,0.000180917054166993,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",2020-06-20,1517,122,484,2.33517305370035e-18,0.0020279709973566,0.000360713879827749,8.70438755479965e-18,5.88334779836852e-11,0.0057586456133248,3.70450302320997e-06,0,0.00457337743405556,0.000183567812269036,0.00337971630699761,0.00100316580847035,7.85714285714286,0.0049002865925189,0.00219300610605798,0.00025691517714973,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654",2020-06-21,1523,122,495,8.79328228112981e-19,0.00187501681009511,0.000403831256826037,1.66391143407513e-17,3.06221640427224e-11,0.00544656446488226,4.3212351662182e-06,0,0.00459367254955824,0.00016169469356891,0.00342495387217913,0.00106044803098983,7.28571428571429,0.00454390211306298,0.00207761490744576,0.000358999001563931,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655",2020-06-22,1530,123,495,3.26765439505679e-19,0.00172693246272596,0.000451186992873158,3.16193110646311e-17,1.57697562317517e-11,0.00513383100844216,5.03129343474374e-06,0,0.00461333344270145,0.00014203388665837,0.00345899036231531,0.00112025098933404,7.71428571428571,0.00481119047265492,0.00196524871041972,0.000493616817286866,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656",2020-06-23,1548,125,502,1.19832432760043e-19,0.00158442724961728,0.000503075045310277,5.97316910634806e-17,8.0351100070821e-12,0.00482255416884744,5.84716284534635e-06,0,0.00463933655943925,0.000124418552185958,0.00348148174951921,0.00118263454212187,5.85714285714286,0.00365294091442318,0.00185608235611966,0.00066785146198124,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657",2020-06-24,1565,125,516,4.33676403600844e-20,0.00144809153337103,0.000559794390838516,1.12172765616136e-16,4.05075912867754e-12,0.00451470403858958,6.78272998642338e-06,0,0.00465899745258247,0.000108686419894973,0.00349219944908037,0.00124765657765949,7.28571428571429,0.00454390211306298,0.00175026665922548,0.000889125449652866,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658",2020-06-25,1577,125,520,1.54885358997952e-20,0.00131839785422191,0.00062164704501771,2.09411368534899e-16,2.02049954650016e-12,0.00421209426040008,7.85339903968679e-06,0,0.00468373212460135,9.46809031043135e-05,0.00349103418699052,0.00131537274504362,5.71428571428571,0.0035638447945592,0.00164792883468171,0.00116476799413755,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659",2020-06-26,1592,125,525,5.45893719803701e-21,0.00119570411123251,0.000688935823975269,3.88636237195146e-16,9.97146204980288e-13,0.00391636808460615,9.07621130944186e-06,0,0.00470783257426078,8.22520002687151e-05,0.00347799785470701,0.0013858361780854,5.85714285714286,0.00365294091442318,0.0015491730777655,0.00150144366666983,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660",2020-06-27,1599,125,535,1.89871152571884e-21,0.00108025856729933,0.000761961847960349,7.16995682332173e-16,4.86896519016403e-13,0.00362898814256691,1.04699673881455e-05,0,0.00472812768976345,7.1256996531341e-05,0.00345322330712892,0.0014590972127987,6,0.00374203703428716,0.00145408128353495,0.00190446012094784,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661",2020-06-28,1602,125,535,6.51722977099573e-22,0.000972206404938698,0.000841021790192173,1.31498257617785e-15,2.35229748406597e-13,0.00335122988925936,1.20553509115507e-05,0,0.004742714804031,6.15609801487813e-05,0.00341696210858572,0.00153520309926788,6.14285714285714,0.00383113315415114,0.00136271389103586,0.00237699326132246,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662",2020-06-29,1609,125,536,2.20759924115741e-22,0.000871597545003125,0.000926404878626928,2.39747267749756e-15,1.12441223856876e-13,0.00308417858697105,1.38550526706533e-05,0,0.00474715436054721,5.30371900756463e-05,0.00336958028031584,0.00161419770878113,8.85714285714286,0.00552395943156676,0.00127511083719965,0.00291929003484412,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
