"","time","S","I","R","D","T","areas","w_i"
"751","101","0.242147253277395","0.746507240407343","0","0.0113455063152611","0.75783158778874","Mazowieckie","2"
"752","102","0.220279628597921","0.767617679240407","0","0.012102692161672","0.779699212468214","Mazowieckie","2"
"753","103","0.199877265860427","0.787242487959428","0","0.0128802461801453","0.800101575205708","Mazowieckie","2"
"754","104","0.180936991199848","0.805386325558235","0","0.0136766832419166","0.819041849866287","Mazowieckie","2"
"755","105","0.163435367115909","0.822074099593365","0","0.0144905332907258","0.836543473950226","Mazowieckie","2"
"756","106","0.147332110675828","0.837347529467651","0","0.0153203598565207","0.852646730390307","Mazowieckie","2"
"757","107","0.132573524821153","0.851261700016917","0","0.0161647751619296","0.867405316244982","Mazowieckie","2"
"758","108","0.119095753229617","0.863881794945243","0","0.0170224518251395","0.880883087836518","Mazowieckie","2"
"759","109","0.106827765523538","0.8752801030356","0","0.0178921314408613","0.893151075542597","Mazowieckie","2"
"760","110","0.095693991521317","0.885533378149472","0","0.0187726303292106","0.904284849544818","Mazowieckie","2"
"761","111","0.0856165796021939","0.894720577562694","0","0.0196628428351122","0.914362261463941","Mazowieckie","2"
"762","112","0.0765172715472895","0.902920985885967","0","0.0205617425667428","0.923461569518846","Mazowieckie","2"
"763","113","0.0683189083549766","0.910212709707442","0","0.021468381937581","0.931659932711158","Mazowieckie","2"
"764","114","0.060946597081502","0.916671512536454","0","0.0223818903820439","0.939032243984633","Mazowieckie","2"
"765","115","0.0543285779810843","0.922369950464962","0","0.0233014715539536","0.945650263085051","Mazowieckie","2"
"766","116","0.0483968324947969","0.927376767710013","0","0.02422639979519","0.951582008571338","Mazowieckie","2"
"767","117","0.0430874744149371","0.931756509466841","0","0.0251560161182211","0.956891366651198","Mazowieckie","2"
"768","118","0.0383409638926246","0.935569312219312","0","0.0260897238880624","0.96163787717351","Mazowieckie","2"
"769","119","0.0341021805743261","0.938870835057466","0","0.027026984368207","0.965876660491809","Mazowieckie","2"
"770","120","0.0303203878619152","0.941712299882561","0","0.0279673122555235","0.96965845320422","Mazowieckie","2"
"771","121","0.026949115642491","0.944140613059397","0","0.0289102712981114","0.973029725423644","Mazowieckie","2"
"772","122","0.0239459844193779","0.946198545514833","0","0.0298554700657887","0.976032856646757","Mazowieckie","2"
"773","123","0.0212724896074419","0.947924952470655","0","0.0308025579219026","0.978706351458693","Mazowieckie","2"
